,desc,date,sentiment,confidence,original_desc,title
0,"The executive order will bring AI systems from the likes of Microsoft, Google, and Amazon under the scrutiny of a range of government departments and steer the sector away from a path of self-regulation.",2023-10-30,neutral,0.7999356389045715,Microsoft has a lot riding on its AI efforts. Now it's looking at ways to keep its models guarded. The company filed a patent application...,Microsoft Guards its Models at All Angles
1,"Microsoft (NASDAQ: MSFT) emerged as one of the most exciting AI companies in 2023 thanks to a lucrative partnership with the firm behind ChatGPT and endless opportunities to monetize its AI venture.  As the world's second-most valuable company with a market capitalization of $2.5 trillion, Microsoft has a long history of rewarding patient investors.  Consistent growth and a promising outlook make Microsoft's stock an attractive option.",2023-10-27,positive,0.8905524015426636,Microsoft has a lot riding on its AI efforts. Now it's looking at ways to keep its models guarded. The company filed a patent application...,Microsoft Guards its Models at All Angles
2,"Microsoft (NASDAQ: MSFT) was founded in 1975, and now, it's the world's second-largest company, with a valuation of $2.5 trillion.  Microsoft started out as a software provider, and its Windows operating system is still used by billions of people today.  AI is perhaps Microsoft's greatest opportunity, and it has spent much of this year weaving the technology throughout its product portfolio.",2023-10-27,neutral,0.8260728716850281,Microsoft has a lot riding on its AI efforts. Now it's looking at ways to keep its models guarded. The company filed a patent application...,Microsoft Guards its Models at All Angles
3,"Microsoft wants to protect the cloud after log-in. The company filed a patent application for a system to detect ""anomalous...",2023-10-27,neutral,0.7586828470230103,Microsoft has a lot riding on its AI efforts. Now it's looking at ways to keep its models guarded. The company filed a patent application...,Microsoft Guards its Models at All Angles
4,"When Microsoft Corporation (NASDAQ: MSFT) entered in a multibillion relationship with OpenAI, it made quite a wager that AI will change the way we work. With its latest quarterly results, that wager seems to be paying off already as the tech giant is rapidly infusing AI across its offerings and consequently, business processes with the result of increased productivity. When it reported its previous quarter, Microsoft dropped a bunch of well-known companies using its AI services, such as Airbnb I",2023-10-26,negative,0.8408210277557373,Microsoft has a lot riding on its AI efforts. Now it's looking at ways to keep its models guarded. The company filed a patent application...,Microsoft Guards its Models at All Angles
5,"The results come after Microsoft reported strong growth in its cloud-computing business, partly because of a better-than-expected contribution from AI workloads.",2023-10-26,positive,0.913233518600464,Microsoft has a lot riding on its AI efforts. Now it's looking at ways to keep its models guarded. The company filed a patent application...,Microsoft Guards its Models at All Angles
6,"The lesson from Microsoft's strong AI-fueled quarterly financial results is likely to push other companies to charge ahead on AI products, for better or for worse.",2023-10-26,positive,0.6186685562133789,Microsoft has a lot riding on its AI efforts. Now it's looking at ways to keep its models guarded. The company filed a patent application...,Microsoft Guards its Models at All Angles
7,Microsoft's stock rose while Google's fell after the companies reported Q3 earnings. AI is driving the difference in narratives.,2023-10-25,neutral,0.4375923573970794,Microsoft has a lot riding on its AI efforts. Now it's looking at ways to keep its models guarded. The company filed a patent application...,Microsoft Guards its Models at All Angles
8,"Microsoft's (MSFT) fiscal first quarter results beat analyst estimates and caused the stock to pop. RBC Capital Markets Software Equity Analyst Rishi Jaluria joins Yahoo Finance Live to weigh in on what Microsoft appears to be doing right. Jaluria notes Microsoft's early adoption of AI as a factor in Microsoft’s separation from the rest—""Microsoft is in a league of its own when it comes to enterprise software, when it comes to tech."" Jaluria goes on to say that ""the pace of innovation and the rate at which they've been able to integrate and infuse AI throughout their entire product suite, I think, is surprising all of us, and that is starting to show up in the numbers."" Watch the video above to hear what Jaluria has to say about what Microsoft's results may reveal about the broader tech environment. Click here to watch the full interview on the Yahoo Finance YouTube page or you can watch this full episode of Yahoo Finance Live here.",2023-10-25,neutral,0.6849799752235413,Microsoft has a lot riding on its AI efforts. Now it's looking at ways to keep its models guarded. The company filed a patent application...,Microsoft Guards its Models at All Angles
9,"There will be a lot of excitement around Microsoft  Wednesday morning.  While Microsoft's AI focus has received all the attention lately, the company's cloud business reported stronger-than-expected growth.  Most of them echoed the sentiment that Microsoft is getting deeply involved in the sector and working to help smaller companies rather than crush them.",2023-10-25,positive,0.9278069734573364,Microsoft has a lot riding on its AI efforts. Now it's looking at ways to keep its models guarded. The company filed a patent application...,Microsoft Guards its Models at All Angles
